confirmed,country,date,deaths,lat,lon,province,recovered
874,Cyprus,2020-05-04,15,35.1264,33.4299,,296
7819,Czechia,2020-05-04,252,49.8175,15.472999999999999,,3807
9670,Denmark,2020-05-04,493,56.2639,9.5018,,7088
187,Denmark,2020-05-04,0,61.8926,-6.9118,Faroe Islands,185
11,Denmark,2020-05-04,0,71.7069,-42.6043,Greenland,11
712,Diamond Princess,2020-05-04,13,0.0,0.0,,645
1116,Djibouti,2020-05-04,2,11.8251,42.5903,,713
16,Dominica,2020-05-04,0,15.415,-61.371,,13
8235,Dominican Republic,2020-05-04,346,18.7357,-70.1627,,1771
31881,Ecuador,2020-05-04,1569,-1.8312,-78.1834,,3433
6813,Egypt,2020-05-04,436,26.0,30.0,,1632
555,El Salvador,2020-05-04,13,13.7942,-88.8965,,180
315,Equatorial Guinea,2020-05-04,3,1.5,10.0,,13
39,Eritrea,2020-05-04,0,15.1794,39.7823,,26
1703,Estonia,2020-05-04,55,58.5953,25.0136,,259
116,Eswatini,2020-05-04,1,-26.5225,31.4659,,12
140,Ethiopia,2020-05-04,3,9.145,40.4897,,75
18,Fiji,2020-05-04,0,-17.7134,178.065,,14
5327,Finland,2020-05-04,240,64.0,26.0,,3500
167886,France,2020-05-04,25168,46.2276,2.2137,,50438
133,France,2020-05-04,1,3.9339,-53.1258,French Guiana,100
58,France,2020-05-04,0,-17.6797,149.4068,French Polynesia,53
152,France,2020-05-04,12,16.25,-61.5833,Guadeloupe,98
181,France,2020-05-04,14,14.6415,-61.0242,Martinique,83
686,France,2020-05-04,6,-12.8275,45.1662,Mayotte,352
18,France,2020-05-04,0,-20.9043,165.618,New Caledonia,17
424,France,2020-05-04,0,-21.1351,55.2471,Reunion,300
6,France,2020-05-04,0,17.9,-62.8333,Saint Barthelemy,6
1,France,2020-05-04,0,46.8852,-56.3159,Saint Pierre and Miquelon,0
38,France,2020-05-04,3,18.0708,-63.0501,St Martin,29
367,Gabon,2020-05-04,6,-0.8037,11.6094,,93
17,Gambia,2020-05-04,1,13.4432,-15.3101,,9
593,Georgia,2020-05-04,9,42.3154,43.3569,,223
166152,Germany,2020-05-04,6993,51.0,9.0,,132700
2719,Ghana,2020-05-04,18,7.9465,-1.0232,,294
2632,Greece,2020-05-04,146,39.0742,21.8243,,1374
21,Grenada,2020-05-04,0,12.1165,-61.678999999999995,,13
730,Guatemala,2020-05-04,19,15.7835,-90.2308,,79
413,Guinea-Bissau,2020-05-04,1,11.8037,-15.1804,,19
1710,Guinea,2020-05-04,9,9.9456,-9.6966,,450
92,Guyana,2020-05-04,9,5.0,-58.75,,27
100,Haiti,2020-05-04,11,18.9712,-72.2852,,10
11,Holy See,2020-05-04,0,41.9029,12.4534,,2
1178,Honduras,2020-05-04,83,15.2,-86.2419,,122
3035,Hungary,2020-05-04,351,47.1625,19.5033,,630
1799,Iceland,2020-05-04,10,64.9631,-19.0208,,1723
46437,India,2020-05-04,1566,21.0,78.0,,12847
11587,Indonesia,2020-05-04,864,-0.7893,113.9213,,1954
98647,Iran,2020-05-04,6277,32.0,53.0,,79379
2346,Iraq,2020-05-04,98,33.0,44.0,,1544
21772,Ireland,2020-05-04,1319,53.1424,-7.6921,,13386
16246,Israel,2020-05-04,235,31.0,35.0,,10064
211938,Italy,2020-05-04,29079,43.0,12.0,,82879
471,Jamaica,2020-05-04,9,18.1096,-77.2975,,38
15078,Japan,2020-05-04,536,36.0,138.0,,4156
465,Jordan,2020-05-04,9,31.24,36.51,,370
