new_cases,total_cases,total_deaths,new_deaths
39,571,3,0
92,663,4,1
73,736,7,3
34,770,7,0
52,822,7,0
11,833,8,1
20,853,8,0
28,881,9,1
40,921,10,1
16,937,11,1
30,967,13,2
46,1013,13,0
2,2,0,0
2,4,0,0
8,12,0,0
5,17,0,0
2,19,0,0
9,28,0,0
0,28,0,0
0,28,0,0
22,50,0,0
5,55,0,0
0,55,0,0
5,60,0,0
2,62,0,0
2,64,0,0
0,64,0,0
7,71,0,0
3,74,0,0
3,77,0,0
5,82,0,0
4,86,0,0
6,92,0,0
0,92,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
3,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
2,6,0,0
1,7,0,0
2,9,0,0
2,11,0,0
0,11,0,0
0,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
0,14,0,0
0,14,0,0
0,14,0,0
0,14,0,0
0,14,0,0
0,14,0,0
1,15,0,0
0,15,0,0
0,15,0,0
0,15,0,0
0,15,0,0
0,15,0,0
0,15,0,0
2,17,0,0
4,21,0,0
1,22,0,0
0,22,0,0
0,22,0,0
0,22,0,0
1,23,0,0
0,23,0,0
2,25,0,0
1,26,1,1
3,29,1,0
4,33,1,0
8,41,1,0
11,52,2,1
7,59,2,0
4,63,2,0
11,74,3,1
6,80,3,0
20,100,3,0
12,112,3,0
14,126,3,0
30,156,3,0
41,197,3,0
52,249,3,0
49,298,5,2
77,375,5,0
79,454,5,0
111,565,6,1
144,709,6,0
165,874,7,1
224,1098,7,0
611,1709,7,0
114,1823,7,0
600,2423,8,1
376,2799,11,3
367,3166,13,2
212,3378,13,0
431,3809,14,1
284,4093,16,2
464,4557,19,3
150,4707,20,1
269,4976,21,1
248,5224,23,2
324,5548,30,7
139,5687,34,4
57,5744,36,2
100,5844,42,6
112,5956,45,3
96,6052,50,5
100,6152,52,2
86,6238,54,2
51,6289,57,3
33,6322,61,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,2,0,0
0,2,0,0
3,5,0,0
2,7,0,0
3,10,0,0
4,14,0,0
4,18,0,0
6,24,0,0
5,29,0,0
12,41,0,0
33,74,0,0
25,99,0,0
3,102,0,0
29,131,0,0
51,182,0,0
64,246,0,0
115,361,1,1
143,504,1,0
151,655,1,0
205,860,1,0
156,1016,3,2
316,1332,3,0
314,1646,4,1
550,2196,6,2
453,2649,6,0
375,3024,8,2
607,3631,16,8
855,4486,25,9
796,5282,30,5
606,5888,34,4
1141,7029,52,18
668,7697,68,16
594,8291,68,0
522,8813,86,18
805,9618,108,22
564,10182,128,20
529,10711,146,18
418,11129,158,12
396,11525,168,10
241,11766,186,18
217,11983,204,18
314,12297,220,16
343,12640,243,23
329,12969,273,30
279,13248,295,22
312,13560,319,24
247,13807,337,18
130,13937,350,13
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,1,0,0
2,3,0,0
3,6,0,0
3,9,0,0
2,11,0,0
2,13,0,0
0,13,0,0
6,19,0,0
0,19,0,0
0,19,0,0
9,28,0,0
6,34,0,0
10,44,0,0
0,44,1,1
9,53,1,0
12,65,1,0
7,72,1,0
15,87,1,0
6,93,2,1
29,122,3,1
43,165,3,0
17,182,4,1
27,209,4,0
64,273,4,0
25,298,5,1
61,359,5,0
41,400,5,0
43,443,5,0
78,521,5,0
